Site,artifact #,Multi-Metal Composite Artifact Subdivision,objects per artifact number,Multi-Metal Description,Catalogue # (CMH),Accession # (PWNHC),Description,Primary Code Class,Secondary Code Class,Tertiary Code Class,Quaternary Code Class,Geographic Locale,Territory,length mm,width mm,ht/thickness mm,weight gm,pXRF,photos,"Include in Final for CAA (adjust as needed - missing or ? should be changed to no if it is obviously historic, otherwise include it)",Notes,xrf notes,flag to examine more,notes (bag),native/historic/unknown,XRF determination,Clean copper signal?,Research Year,Permit number,Curation Facility,Collection Date,Collector,Accession No,Area,Square/Unit,Level/Stratum,Feature,Other Provenience Detail,Provenience Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,591,,,,MkPk-3:591,, Copper flake,,01,,,,NWT,na,na,na,<0.1,y,931-933,yes,production flake?,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,606,,2,,MkPk-3:606,, copper flake,,01,,,,NWT,,,1.66,0.3,y,967-969,yes,"2 flakes, combined wieght, slight bit of cordage(?) attached, may be natural vegetation",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,607,,,,MkPk-3:607,, Copper flake,,01,,,,NWT,na,na,1.39,8.9,y,918-920,yes,"flat piece, length and width not applicable",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,610,,,,MkPk-3:610,,Copper barb,,06,02,,,NWT,,,,,,,missing,MISSING FROM COLLECTIONS,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,618,,2,,MkPk-3:618,,copper fragments,,,,,,NWT,27.07,3.47,3.19,0.2,y,934-937,yes,"2 pieces, 1 is an awl, the other is a production flake (2.17mm thick, 0.1 gm).  Main measurements are for awl",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,642,,2,,MkPk-3:642,,copper fragments,,,,,,NWT,24.98,8.38,1.46,0.1,y,938-942,yes,"2 pieces, possible point blanks - both hammered and taper to a point (second measurements - 20.92, 5.77, 3.26, 0.2 gm)",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,649,,,,MkPk-3:649,, Copper flake,,01,,,,NWT,29.65,18.21,1.78,0.4,y,943-947,yes,"thin hammered fragment, rough on edges. Production flake",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,652,,,,MkPk-3:652,,Copper hook,,02,02,,,NWT,,,,,,,?,,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,653,,,,MkPk-3:653,,Copper hook,,02,,,,NWT,27.11,2.52,2.37,0.1,y,959-963,yes,"hook.  Main curve is more obtuse than usual, slightly less than 90 degrees.  Secondary curve at the top, very slight",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,654,,,,MkPk-3:654,,Copper barb,,06,,,,NWT,33.39,3.3,3.27,0.3,yes,948-952,yes,"awl? Both ends are fragmentary, square cross section",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,655,,,,MkPk-3:655,,Copper barb,,06,02,,,NWT,,,,,,,?,,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,656,,,,MkPk-3:656,,Small copper triangle,,10,,,,NWT,19.15,18.4,1.04,<0.1,yes,953-958,yes,"Pendant(?), small drilled(?) hole at the apex of the triangle",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,658,,4,,MkPk-3:658,,Copper fragments,,,,,,NWT,17.14,2.3,1.51,<0.1,y,970-972,yes,"4 pieces.  1 may be a small needle (c), 1 may be a small blank (d), other two are likely production flakes (a and b).  4 xrf shots.  'blank' measurements - 14.89, 4.4, 1.83, <0.1 gm.  Combined weight of all is 5.3 gm",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,712,,2,,MkPk-3:712,,copper fragments,,,,,,NWT,34.53,9.44,4.81,2.9,y,973-976,yes,"2 pieces.  1 appears to be a flat fragment or blade, the other is a thicker, tapered blank.  'blade' measurements - 19.66, 7.97, 1.43, <0.1 gm.",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,713,,,,MkPk-3:713,,Long copper barb,,06,,,,NWT,67.5,4.25,6.22,4.4,y,991-995,yes,"long, slightly curved barb/awl.  Rectangular in cross section. One end fractured",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,714,,,,MkPk-3:714,,copper barb,,06,,,,NWT,34,6.3,3.31,0.9,y,981-984,yes,rectangular barb/blank,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,715,,,,MkPk-3:715,,copper barb,,06,,,,NWT,23.25,4.63,2.57,0.1,y,985-988,yes,"rolled, then hammered to a taper on one end and flat on the other",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,716,,,,MkPk-3:716,,copper barb,,06,,,,NWT,17.09,2.29,1.93,<0.1,yes,977-980,yes,small needle or barb,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,717,,3,,MkPk-3:717,,copper fragments,,,,,,NWT,,,,,yes,1005-1008,yes,"3 pieces, one might be a tapered blank (0.5 gm 23.69, 7.92, 3.93), one is thin (1.67 mm thick, 0.1 gm) and may be a blade fragment, one is a hammered nugget (0.7 gm, 2.93 thick).  1.9 gm combined wieght",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,719,,,,MkPk-3:719,,Copper barb,,06,,,,NWT,58.83,7.06,7.64,8,yes,996-1000,yes,"large barb, fractured on one end",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,720,,,,MkPk-3:720,,Copper barb,,06,,,,NWT,35.69,2.48,2.3,<0.1,yes,1001-1004,yes,"needle, square in cross section but appears to have rounded edges, possibly from use",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,800,,,,MkPk-3:800,,copper needle,,06,,,,NWT,45.05,1.92,2.25,0.2,yes,1016-1018,yes,needle,,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,801,,,,MkPk-3:801,,copper barb,,06,,,,NWT,41.63,2.91,2.71,0.3,y,1028-1031,yes,curved copper barb/needle/awl.  Square in cross section,,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,806,,,,MkPk-3:806,,shaped antler - copper nail,,08,,,,NWT,16.31,1.94,1.8,0.4*,y,1009-1015,yes,copper rivet in antler(?) Weight is combined copper and antler,,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,807,a,,"rivet, from rivet/blade combo",MkPk-3:807,,squared copper rivet,,08,,,,NWT,15.56,3.36,3.45,0.3,y,1024-1027,yes,"copper rivet AND copper blade remnant.  Measurements are on rivet, weight is a combined wieght for rivet and blade.  Blade thickness is 0.6 mm",,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,807,b,,"blade fragment, from rivet blade combo",MkPk-3:807,,blade attached to squared copper rivet,,,01,,,NWT,,,0.6,see above,y,1024-1027,yes,"copper rivet AND copper blade remnant.  Measurements are on rivet, weight is a combined wieght for rivet and blade.  Blade thickness is 0.6 mm",,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,#23,,,,MkPk-3:#23,,awl/barb,,06,,,,,32.44,1.92,2.56,0.7,y,1781,yes,"unsure of number.  The object recorded herewas thought to be MkPk-3:223,but that was incorrect. The site number is almost completely illegible, but it was grouped with other MkPk-3 objects.  Very rough pin/needle/etc.  Small",,,,,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,65x (# prob),,,,MkPk-3:65x (# prob),,needle/awl,,06,,,,,32.27,2.28,2.82,<0.1,y,964-966,yes,problem with the number - NOT MkPk-3:65.  appears to be a thick needle or thin awl,,,,,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,unID A,,,,MkPk-3:unID A,,Fish hook,,02,,,,,~58 (measured on curve),3.29,2.88,2,,1-0607,yes,"29.88 straight length.  Sharp angle in the middle.  Possibly deformed.  Distal end tapers to point, proximal end is fractured",,,,,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,unID B,,,,MkPk-3:unID B,,fish hook,,02,,,,,~49 (measured on curve),3.7,2.62,2,,1-0607,yes,25.13 straight length.  Tapers to point.  Proximal end tapers to edge,,,,,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,unID C,,,,MkPk-3:unID C,,awl,,06,,,,,54.67,4.77,4.59,5.6,,1-0607,yes,"finely made awl.  Tapers to point at one end, and flattened edge at the other",,,,,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,unID D,,,,MkPk-3:unID D,,awl/barb,,06,,,,,19.62,3.53,2.08,0.6,,1-0607,yes,rough bar.  unfinished,,,,,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,unID E,,,,MkPk-3:unID E,,awl/barb,,06,,,,,38.72,4.04,2.63,2.2,,1-0607,yes,"rough bar, recatnangular in cross section, one end flattened to an edge, the other unfinished.",,,,,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-3,unID F,,,,MkPk-3:unID F,,hammered native sheet,,,,,,,na,na,2,1.7,,1-0607,yes,hammered nugget,,,,,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-4,1,,,,MkPk-4:1,,copper fish hook,,,,,,NWT,53.04,4,2.77,2.2,y,1019-1023,yes,curved (deformed) awl or hook,,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MkPk-9,7,,,,MkPk-9:7,,copper arrowhead,,,,,,NWT,44.08,20.36,1.39,9.7,y,1057-1061,yes,"very red copper projectile point with an attached, but loose, copper rivet (10.65mm long rivet), weight is combined",,,,,,,2015,,CMH,1968,"McGhee, Dr. Robert J. - Canadian Museum of Civilization",1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MlPi-1,8,,,,MlPi-1:8,,antler objects with copper rivets,,,,,,NWT,na,na,na,na,y,1034-1049,yes,"2 antler objects with copper rivets.  (a) has 2 rivets(8.27 and 10.54 mm long), (b) has one rivet (19.21 mm long)",,,,,,,2015,,CMH,1961,"Arima, Eugene Y.",1357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MlPi-1,9,,,,MlPi-1:9,,frag. of antler knife handle with copper rivets,,,,,,NWT,13.43,na,na,na,y,1050-1056,yes,antler with one copper rivet (13.43mm long,,,,,,,2015,,CMH,1961,"Arima, Eugene Y.",1357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MlPj-2,D-43,,,,MlPj-2:D-43,,composite ulu - copper blade,,,,,,NWT,54.9,na,1.16,26.9,yes,1062-1069,yes,"composite ulu - 3 pieces of bone/antler, 5 out of 6 rivets (1 missing), copper blade (1.16 mm thick) (weight is combined) ulu blade length is 54.90",,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MlPj-2,D-50,,,,MlPj-2:D-50,,iron ulu blade - copper rivets,,,,,,NWT,,,,3.1*,y,1090,yes,"3 copper rivets, roughly 3mm dia, roughly 6mm long, weight is including iron",,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MlPj-2,F-10,,,,MlPj-2:F-10,,copper ulu blade,,,,,,NWT,67.26,12.38,2.24,6,y,1070-1074,yes,"ulu  blade with one rivet hole, sharpened on the exterior edge",,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MlPj-2,F-8,,,,MlPj-2:F-8,,copper needle,,,,,,NWT,43.39,0.96,1.06,<0.1,y,last 1083,yes,very thin copper needle,,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MlPj-2,H-1,,,,MlPj-2:H-1,,piece of copper,,,,,,NWT,25.9,77.2,1.03,0.7,y,last 1086,yes,"folded over fragment, roughly point shaped",,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MlPj-2,I-27,,,,MlPj-2:I-27,,wood peg - copper rivet,,,,,,NWT,na,na,na,na,y,1093,yes,"copper rivet, dia 4.6 mm, weight and length na",,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMPP-1,1 (?),,,,MMPP-1:1 (?),,copper fragement,,,,,,,na,na,2.66,6.3,y,1101,yes,rough fragment - hammered flat,,,,,,,2015,,CMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyPy-1,1,,,,MyPy-1:1,,piece of copper,,,,,,NWT,,,,,,,?,,,,,,,,2015,,CMH,1979,"Clark, Dr. Donald Woodforde",2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaPi-2,5-8,,,,NaPi-2:5-8,,piece of copper - is this the adze bit?,,12 or 06,,,,"NWTNunavut",42.89,3.14,17.13,9,y,2076,yes,fractured piece on both ends.  Rectangular cross-section.  Widens into a flatter section. Chisel?,,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaPi-2,7-14,,,,NaPi-2:7-14,,endblade knife with copper blade and wooden handle,,10,,,,"NWTNunavut",27.31,9.77,1.98,3.3*,y,2093,yes,"wieght includes wood.  Small, very dull (never sharpened?) blade hafted in a wooden handle with cordage.  Handle shaft is split and copper blade is inserted 11.88 mm into shaft.  Measurements are of full blade - it is exposed enough to measure",,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaPi-2,8-1,,,,NaPi-2:8-1,,"bracelet frag., copper",,11,,,,"NWTNunavut",~83 (measured on the curve),6.67,2.83,8.1,y,2107,yes,probably bracelet fragment. Straight length is 56.56,,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaPi-2,8-15,,,,NaPi-2:8-15,,copper frag.,,01,,,,"NWTNunavut",na,na,1.56,1.9,y,2172,yes,hammered nugget,,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaPi-2,8-19,,,,NaPi-2:8-19,,"circlet, copper",,11,,,,"NWTNunavut",~120 (measured on the curve),12.84,2.21,13.1,y,2171,yes,circlet/braclet (not sure of nomenclature) flat band in continuous curve. Straight length is 41.25,,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaPi-2,10-2,,,,NaPi-2:10-2,,copper frag.,,01,,,,"NWTNunavut",na,na,7.13,7.3,y,2207,yes,hammered nugget - hardly worked at all.  Has slight flat section,,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaPi-2,12-4,,3,,NaPi-2:12-4,,3 copper detritus,,,,,,"NWTNunavut",na,na,1.62,5.6,y,2156,yes,3 hammered nuggets/production flakes.  Thickness is of largest.  Weight is combined.,,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaPi-2,12-4a,,,,NaPi-2:12-4a,,"lance head, copper",,09,02,,,"NWTNunavut",,,,,,,?,,,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaPi-2,12-4b,,,,NaPi-2:12-4b,,copper scraper & skin bag,,10,02,,,"NWTNunavut",,,,,,,?,,,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaPi-2,13-4,,,,NaPi-2:13-4,,frag. of copper,,01,,,,"NWTNunavut",na,na,2.15,7.3,y,2120,yes,hammered nugger,,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaPi-2,15-12,,,,NaPi-2:15-12,,frag. of copper,,01,,,,"NWTNunavut",na,na,2.98,12.2,y,2154,yes,hammered nugget,,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaPi-2,16-9,,,,NaPi-2:16-9,,"arrow endblade, copper",,09,,,,"NWTNunavut",63.45,14.93,2.06,4.9,y,2039,yes,point with tang.  More triangular shaped than leaf shaped.  Tang is much more rectangular in cross section than square.  It is relatively flat.  Shoulders are perpendicular to tang.,,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaPi-2,17-4 a,,,,NaPi-2:17-4 a,,"arrowhead, copper",,09,,,,"NWTNunavut",89.65,22.43,4.82,29.3,y,2071,yes,thick rectangular tang.  Small hooked piece on proximal end of tang. Leaf shapred blade,,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaPi-2,17-7,,,,NaPi-2:17-7,,"circlet, copper",,11,,,,"NWTNunavut",~160 (measured around the curve),6.8,2.03,9.5,y,2062,yes,"looks like a bracelet.  Very rectangular cross section (flattened).  Curved continuously, not bent like a soapstone lamp staple.  Straight length (oval dia) - 62.14",,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaPi-2,19-3,,,,NaPi-2:19-3,,"endblade, copper",,09,,,,"NWTNunavut",52.34,15.74,2.82,3.4,y,2118,yes,"triangular endblade with flat tang.  Corroded. Looks like iron, but signal says clean copper",,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaPi-2,20-1,,,,NaPi-2:20-1,,"ulu blade, copper",,04,,,,"NWTNunavut",84.24,54.41,2.34,45.8,y,2128,yes,rectangular convex ulu blade.  Almost uniform thickness across the whole blade,,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaPi-2,20-5,,,2 copper rivets,NaPi-2:20-5,,"snow probe point with copper rivets, antler",,08,,,,"NWTNunavut",see notes,na,na,na,y,2163,yes,2 rivets.  I'll believe it’s a snow probe.  Rivets are 6.21 and 7.24 in length,,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaPi-2,21-13,,,,NaPi-2:21-13,,"leister barb, copper",,06,,,,"NWTNunavut",98.47,6.75,5.13,19.5,y,2099,yes,"large barb, curved in several angles.  One end tapers into a point, the other looks like it has been hammered into a rounded end.  Square in cross section",,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaPi-2,23-6,,,,NaPi-2:23-6,,copper frag.,,01,,,,"NWTNunavut",na,na,2.21,5.1,y,2206,yes,hammered nugget - natural holes,,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaPi-2,25-18,,,,NaPi-2:25-18,,nodule of copper,,01,02,,,"NWTNunavut",,,,,,,missing,missing - cannot find - no. range not in drawer',,,,,,,2015,,CMH,1981,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaPi-2,27-22,a,,copper harpoon blade,NaPi-2:27-22,,"harpoon head, antler, with copper endblade, Clachan",,03,,,,"NWTNunavut",46.39,22.61,2.09,10*,y,2152,yes,see description. Pretty harpoon.  Copper endblade with 2 proximal barbs.  Attached with copper rivet.  Measurements are of endblade.  Wieght includes antler. Rivet length is 8.18,,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaPi-2,27-22,b,,1 copper rivet,NaPi-2:27-22,,"harpoon head, antler, with copper endblade, Clachan",,08,,,,"NWTNunavut",,,,see above,y,2152,yes,see description. Pretty harpoon.  Copper endblade with 2 proximal barbs.  Attached with copper rivet.  Measurements are of endblade.  Wieght includes antler. Rivet length is 8.18,,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaPi-2,27-23,,,,NaPi-2:27-23,,"fish hook, copper",,02,,,,"NWTNunavut",~71 (estimate of curved length),4.03,3.12,4,y,2054,yes,"fish hook, rectangular cross section.  2 angles instead of one continuous curve.  Tapers to point at both ends. Straight length is 40.93",,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaPi-2,27-5,,,,NaPi-2:27-5,,"leister barb, copper",,06,,,,"NWTNunavut",65.43,4.97,3.86,5.9,y,1923,yes,"awl/barb.  One end tapers to a point.  Other end is rough, but down not appear fractured",,,,,,,2015,,CMH,1980,"Morrison , Ph.D, Dr. David A. - Canadian Museum of Civilization",2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
